report_date,season,location,reporting_city,district,basis_of_sale,group,commodity,variety,package,grade,item_size,item_size_comment,environment,unit_sales,quality,condition,appearance,storage,properties,organic,import_export,low_price,high_price,mostly_low_price,mostly_high_price,comment,market_tone_comments,supply_tone_comments,demand_tone_comments,commodity_comments
07/27/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS RED VARIETIES,28 lb cartons loose,N/A,50-55 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),22.95,26.95,,,,About Steady,,MODERATE,Extra services included. Wide range in prices.
07/27/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS RED VARIETIES,28 lb cartons loose,N/A,40-45 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),26.95,32.95,26.95,30.95,occasional lower,About Steady,,MODERATE,Extra services included. Wide range in prices.
07/27/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS RED VARIETIES,28 lb cartons loose,N/A,30-35 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),28.95,34.95,28.95,32.95,occasional lower,About Steady,,MODERATE,Extra services included. Wide range in prices.
07/27/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS BLACK VARIETIES,28 lb cartons loose,N/A,60-65 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),18.95,24.95,18.95,20.95,,About Steady,,MODERATE,Extra services included. Wide range in prices.
07/24/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS BLACK VARIETIES,28 lb cartons loose,N/A,50-55 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),20.95,26.95,20.95,24.95,,Steady,,MODERATE,Extra services included. Wide range in prices.
07/24/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS BLACK VARIETIES,28 lb cartons loose,N/A,40-45 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),24.95,30.95,24.95,28.95,,Steady,,MODERATE,Extra services included. Wide range in prices.
07/24/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS BLACK VARIETIES,28 lb cartons loose,N/A,30-35 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),28.95,34.95,28.95,32.95,occasional lower,Steady,,MODERATE,Extra services included. Wide range in prices.
07/24/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS RED VARIETIES,28 lb cartons loose,N/A,60-65 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),20.95,24.95,20.95,22.95,,Steady,,MODERATE,Extra services included. Wide range in prices.
07/24/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS RED VARIETIES,28 lb cartons loose,N/A,50-55 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),22.95,26.95,,,,Steady,,MODERATE,Extra services included. Wide range in prices.
07/24/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS RED VARIETIES,28 lb cartons loose,N/A,40-45 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),26.95,32.95,26.95,30.95,occasional lower,Steady,,MODERATE,Extra services included. Wide range in prices.
07/24/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS RED VARIETIES,28 lb cartons loose,N/A,30-35 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),28.95,34.95,28.95,32.95,occasional lower,Steady,,MODERATE,Extra services included. Wide range in prices.
07/24/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS BLACK VARIETIES,28 lb cartons loose,N/A,60-65 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),18.95,24.95,18.95,20.95,,Steady,,MODERATE,Extra services included. Wide range in prices.
07/23/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS BLACK VARIETIES,28 lb cartons loose,N/A,50-55 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),20.95,26.95,20.95,24.95,,Steady,,MODERATE,Extra services included. Wide range in prices.
07/23/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS BLACK VARIETIES,28 lb cartons loose,N/A,40-45 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),24.95,30.95,24.95,28.95,,Steady,,MODERATE,Extra services included. Wide range in prices.
07/23/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS BLACK VARIETIES,28 lb cartons loose,N/A,30-35 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),28.95,34.95,28.95,32.95,occasional lower,Steady,,MODERATE,Extra services included. Wide range in prices.
07/23/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS RED VARIETIES,28 lb cartons loose,N/A,60-65 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),20.95,24.95,20.95,22.95,,Steady,,MODERATE,Extra services included. Wide range in prices.
07/23/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS RED VARIETIES,28 lb cartons loose,N/A,50-55 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),22.95,26.95,,,,Steady,,MODERATE,Extra services included. Wide range in prices.
07/23/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS RED VARIETIES,28 lb cartons loose,N/A,40-45 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),26.95,32.95,26.95,30.95,occasional lower,Steady,,MODERATE,Extra services included. Wide range in prices.
07/23/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS RED VARIETIES,28 lb cartons loose,N/A,30-35 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),28.95,34.95,28.95,32.95,occasional lower,Steady,,MODERATE,Extra services included. Wide range in prices.
07/23/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS BLACK VARIETIES,28 lb cartons loose,N/A,60-65 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),18.95,24.95,18.95,20.95,,Steady,,MODERATE,Extra services included. Wide range in prices.
07/22/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS BLACK VARIETIES,28 lb cartons loose,N/A,50-55 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),20.95,26.95,20.95,24.95,,About Steady,,MODERATE,Extra services included. Wide range in prices.
07/22/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS BLACK VARIETIES,28 lb cartons loose,N/A,40-45 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),24.95,30.95,24.95,28.95,,About Steady,,MODERATE,Extra services included. Wide range in prices.
07/22/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS BLACK VARIETIES,28 lb cartons loose,N/A,30-35 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),28.95,34.95,28.95,32.95,occasional lower,About Steady,,MODERATE,Extra services included. Wide range in prices.
07/22/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS RED VARIETIES,28 lb cartons loose,N/A,60-65 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),20.95,24.95,20.95,22.95,,About Steady,,MODERATE,Extra services included. Wide range in prices.
07/22/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS RED VARIETIES,28 lb cartons loose,N/A,50-55 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),22.95,26.95,,,,About Steady,,MODERATE,Extra services included. Wide range in prices.
07/22/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS RED VARIETIES,28 lb cartons loose,N/A,40-45 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),26.95,32.95,26.95,30.95,occasional lower,About Steady,,MODERATE,Extra services included. Wide range in prices.
07/22/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS RED VARIETIES,28 lb cartons loose,N/A,30-35 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),28.95,34.95,28.95,32.95,occasional lower,About Steady,,MODERATE,Extra services included. Wide range in prices.
07/22/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS BLACK VARIETIES,28 lb cartons loose,N/A,60-65 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),18.95,24.95,18.95,20.95,,About Steady,,MODERATE,Extra services included. Wide range in prices.
07/21/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS RED VARIETIES,28 lb cartons loose,N/A,40-45 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),26.95,32.95,26.95,30.95,,Steady,,MODERATE,Extra services included. Wide range in prices.
07/21/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS RED VARIETIES,28 lb cartons loose,N/A,30-35 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),28.95,34.95,28.95,32.95,,Steady,,MODERATE,Extra services included. Wide range in prices.
07/21/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS BLACK VARIETIES,28 lb cartons loose,N/A,60-65 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),18.95,24.95,18.95,20.95,,Steady,,MODERATE,Extra services included. Wide range in prices.
07/21/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS BLACK VARIETIES,28 lb cartons loose,N/A,50-55 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),20.95,26.95,20.95,24.95,,Steady,,MODERATE,Extra services included. Wide range in prices.
07/21/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS BLACK VARIETIES,28 lb cartons loose,N/A,40-45 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),24.95,30.95,24.95,28.95,,Steady,,MODERATE,Extra services included. Wide range in prices.
07/21/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS BLACK VARIETIES,28 lb cartons loose,N/A,30-35 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),28.95,34.95,28.95,32.95,,Steady,,MODERATE,Extra services included. Wide range in prices.
07/21/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS RED VARIETIES,28 lb cartons loose,N/A,60-65 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),20.95,24.95,20.95,22.95,,Steady,,MODERATE,Extra services included. Wide range in prices.
07/21/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS RED VARIETIES,28 lb cartons loose,N/A,50-55 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),22.95,26.95,,,,Steady,,MODERATE,Extra services included. Wide range in prices.
07/20/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS RED VARIETIES,28 lb cartons loose,N/A,40-45 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),26.95,32.95,26.95,30.95,,About Steady,,MODERATE,Extra services included. Wide range in prices.
07/20/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS RED VARIETIES,28 lb cartons loose,N/A,30-35 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),28.95,34.95,28.95,32.95,,About Steady,,MODERATE,Extra services included. Wide range in prices.
07/20/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS BLACK VARIETIES,28 lb cartons loose,N/A,60-65 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),18.95,24.95,18.95,20.95,,About Steady,,MODERATE,Extra services included. Wide range in prices.
07/20/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS BLACK VARIETIES,28 lb cartons loose,N/A,50-55 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),20.95,26.95,20.95,24.95,,About Steady,,MODERATE,Extra services included. Wide range in prices.
07/20/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS BLACK VARIETIES,28 lb cartons loose,N/A,40-45 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),24.95,30.95,24.95,28.95,,About Steady,,MODERATE,Extra services included. Wide range in prices.
07/20/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS BLACK VARIETIES,28 lb cartons loose,N/A,30-35 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),28.95,34.95,28.95,32.95,,About Steady,,MODERATE,Extra services included. Wide range in prices.
07/20/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS RED VARIETIES,28 lb cartons loose,N/A,60-65 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),20.95,24.95,20.95,22.95,,About Steady,,MODERATE,Extra services included. Wide range in prices.
07/20/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS RED VARIETIES,28 lb cartons loose,N/A,50-55 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),22.95,26.95,,,,About Steady,,MODERATE,Extra services included. Wide range in prices.
07/17/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS BLACK VARIETIES,28 lb cartons loose,N/A,30-35 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),28.95,32.95,,,,Steady,,MODERATE,Extra services included. Wide range in prices.
07/17/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS RED VARIETIES,28 lb cartons loose,N/A,50-55 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),22.95,26.95,,,,Steady,,MODERATE,Extra services included. Wide range in prices.
07/17/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS RED VARIETIES,28 lb cartons loose,N/A,40-45 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),26.95,30.95,,,,Steady,,MODERATE,Extra services included. Wide range in prices.
07/17/2026,2026,"Fresno, California","Fresno, California",CENTRAL AND SOUTHERN SAN JOAQUIN VALLEY CALIFORNIA,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",Fruits,Plums,VARIOUS RED VARIETIES,28 lb cartons loose,N/A,30-35 size,,N/A,N/A,N/A,N/A,N/A,N/A,,N,D (domestic),28.95,34.95,28.95,32.95,,Steady,,MODERATE,Extra services included. Wide range in prices.
